model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
camel-ai/CAMEL-13B-Combined-Data,2023-09-23T12-27-31.812773,0.0712661106899166,0.7545382794001578,,,
jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b,2023-09-22T20-03-30.331669,0.0758150113722517,0.7616416732438832,,,
jordiclive/Llama-2-70b-oasst-1-200,2023-09-17T01-27-48.135864,0.32752084912812734,0.8413575374901342,,,
jlevin/guanaco-unchained-llama-2-7b,2023-09-23T03-51-33.627576,0.03411675511751327,0.6448303078137332,,,
jlevin/guanaco-13b-llama-2,2023-09-22T21-26-51.366980,0.0576194086429113,0.7434885556432518,,,
Tincando/fiction_story_generator,2023-10-23T08-16-23.951568,0.0,0.5011838989739542,,,
pythainlp/wangchanglm-7.5B-sft-en-sharded,2023-10-12T12-19-58.207629,0.002274450341167551,0.5824782951854776,,,
pythainlp/wangchanglm-7.5B-sft-enth,2023-10-12T15-30-29.311096,0.00530705079605762,0.579321231254933,,,
lgaalves/gpt2-dolly,2023-10-26T15-16-18.909977,0.001516300227445034,0.5146014206787688,,,
Rachneet/gpt2-xl-alpaca,2023-10-15T05-57-01.634897,0.0,0.569060773480663,,,
databricks/dolly-v2-7b,2023-10-15T13-27-34.576106,0.011372251705837756,0.6006314127861089,,,
databricks/dolly-v2-12b,2023-09-23T05-02-42.236847,0.012130401819560273,0.6085240726124704,,,
databricks/dolly-v2-3b,2023-10-15T08-28-44.127308,0.01061410159211524,0.5943172849250198,,,
abhiramtirumala/DialoGPT-sarcastic-medium,2023-09-23T00-36-45.634956,0.0,0.5335438042620363,,,
lilloukas/Platypus-30B,2023-09-17T05-57-25.138979,0.14404852160727824,0.813733228097869,,,
lilloukas/GPlatty-30B,2023-09-23T00-38-16.456797,0.13874147081122062,0.8097868981846882,,,
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,2023-09-23T10-49-57.900562,0.3161485974222896,0.7750591949486977,,,
LLMs/WizardLM-13B-V1.0,2023-09-23T04-14-08.122970,0.14101592115238817,0.7411207576953434,,,
LLMs/AlpacaGPT4-7B-elina,2023-10-15T04-06-06.586475,0.045489006823351025,0.7269139700078927,,,
shareAI/bimoGPT-llama2-13b,2023-09-17T02-26-34.744739,0.11296436694465505,0.7647987371744278,,,
shareAI/llama2-13b-Chinese-chat,2023-09-22T14-15-31.238109,0.11372251705837756,0.7663772691397001,,,
PygmalionAI/pygmalion-1.3b,2023-10-15T07-13-21.177207,0.0,0.500394632991318,,,
PygmalionAI/metharme-1.3b,2023-09-22T18-39-45.920651,0.0075815011372251705,0.5643251775848461,,,
PygmalionAI/pygmalion-2.7b,2023-09-22T20-17-59.683847,0.0,0.5651144435674822,,,
PygmalionAI/pygmalion-350m,2023-10-14T15-33-29.542088,0.00530705079605762,0.5027624309392266,,,
PygmalionAI/pygmalion-6b,2023-10-08T20-04-23.834964,,,0.4052901023890785,0.6746664011153157,0.3253448533993895
victor123/WizardLM-13B-1.0,2023-12-03T00-24-56.534385,0.0,,,,
beomi/llama-2-ko-7b,2023-09-17T14-17-57.880003,0.019711902956785442,0.7213891081294396,,,
beomi/KoAlpaca-Polyglot-5.8B,2023-09-22T22-10-39.400321,0.000758150113722517,0.49013417521704816,,,
keyfan/vicuna-chinese-replication-v1.1,2023-09-20T16-29-17.450088,0.09476876421531463,0.6740331491712708,,,
garage-bAInd/Camel-Platypus2-13B,2023-10-13T04-35-13.977731,0.000758150113722517,0.7537490134175217,,,
garage-bAInd/Platypus2-70B-instruct,2023-11-09T00-36-31.182871,0.40561031084154664,0.8271507498026835,,,
garage-bAInd/Dolphin-Platypus2-70B,2023-08-10T02:32:56.587713,,,0.7039249146757679,0.8669587731527584,0.566489803511904
garage-bAInd/Platypus2-13B,2023-09-18T01-36-13.109840,0.07050796057619409,0.7687450670876085,,,
garage-bAInd/Stable-Platypus2-13B,2023-09-17T23-47-31.962394,0.01819560272934041,0.7687450670876085,,,
garage-bAInd/Platypus2-70B,2023-10-13T01-27-19.477950,0.3305534495830174,0.8437253354380426,,,
microsoft/DialoGPT-large,2023-10-26T03-53-29.500028,0.0,0.5240726124704025,,,
